SHEET_ROW,CURRENT_ID,NAME,SUGGESTED_ID,REFERENCED_BY,ACTION
102,Tsuyoshi Suzuki,Tsuyoshi Suzuki,tsuyoshi-suzuki,spring-love-harukaze,ID を修正
103,DAIJIRO,DAIJIRO,daijiro,spring-love-harukaze,ID を修正
105,ZUNDOKO DISCO,ZUNDOKO DISCO,zundoko-disco,spring-love-harukaze,ID を修正
106,FUNKY GONG,FUNKY GONG,funky-gong,spring-love-harukaze,ID を修正
107,DJ KRUSH,DJ KRUSH,dj-krush,spring-love-harukaze,ID を修正
108,CALPISS,CALPISS,calpiss,etsuetsu / spring-love-harukaze,ID を修正
109,Space Drum Meditation,Space Drum Meditation,space-drum-meditation,paramount,ID を修正
110,DANIEL BELL,DANIEL BELL,daniel-bell,letus-music-camp,ID を修正
111,IKEDA-IKERU,IKEDA IKERU,ikeda-ikeru,letus-music-camp,ID を修正
112,AOKI takamasa,AOKI Takamasa,aoki-takamasa,letus-music-camp,ID を修正
113,MiTSUYAS,MiTSUYAS,mitsuyas,letus-music-camp,ID を修正
114,Yoske,Yoske,yoske,letus-music-camp,ID を修正
115,S.O.N.S,S.O.N.S,sons,letus-music-camp,ID を修正
116,ONIRIK,ONIRIK,onirik,letus-music-camp,ID を修正
117,ONO,ONO,ono,letus-music-camp,ID を修正
119,INDI ZONE,INDI ZONE,indi-zone,letus-music-camp,ID を修正
120,JUNKI INOUE,JUNKI INOUE,junki-inoue,letus-music-camp,ID を修正
121,DJ Spot,DJ Spot,dj-spot,letus-music-camp,ID を修正
122,SHINGO,SHINGO,shingo,letus-music-camp,ID を修正
123,Ryouma Okabe,Ryouma Okabe,ryouma-okabe,etsuetsu,ID を修正
124,置石,置石,,etsuetsu,★ローマ字表記を人が決める
125,走る犬,走る犬,,etsuetsu,★ローマ字表記を人が決める
126,ToA,ToA,toa,etsuetsu,ID を修正
127,Tommorow Joe,Tommorow Joe,tommorow-joe,etsuetsu,ID を修正
128,TAIHEI,TAIHEI,taihei,etsuetsu,ID を修正
129,DJ AGEISHI,DJ AGEISHI,dj-ageishi,etsuetsu,ID を修正
130,AKIRAM EN,AKIRAM EN,akiram-en,etsuetsu,ID を修正
131,HappySet,HappySet,happyset,etsuetsu,ID を修正
132,YUSUKEV,YUSUKEV,yusukev,etsuetsu,ID を修正
133,ALTZ,ALTZ,altz,etsuetsu,ID を修正
134,ZUTSUKI-D,ZUTSUKI D,zutsuki-d,etsuetsu,ID を修正
135,Zooey Loomer 1979,Zooey Loomer 1979,zooey-loomer-1979,etsuetsu,ID を修正
136,TERU-O,TERU O,teru-o,etsuetsu,ID を修正
137,TOTS,TOTS,tots,etsuetsu,ID を修正
138,pAradice,PAradice,paradice,etsuetsu,ID を修正
139,YELLOWUHURU,YELLOWUHURU,yellowuhuru,etsuetsu / rural,ID を修正
140,PortaL,PortaL,portal,etsuetsu,ID を修正
141,TAKUMYMANN,TAKUMYMANN,takumymann,etsuetsu,ID を修正
142,Masa Takeuchi a.k.a Tabasco,Masa Takeuchi A.K.A Tabasco,masa-takeuchi-aka-tabasco,etsuetsu,ID を修正
143,CHILDA,CHILDA,childa,etsuetsu,ID を修正
144,You Forgot,You Forgot,you-forgot,etsuetsu,ID を修正
145,Suger-T,Suger T,suger-t,etsuetsu,ID を修正
146,NEWきんぎん,NEWきんぎん,,etsuetsu,★ローマ字表記を人が決める
