ARTIST_ID,CURRENT_NAME,LINEUP_NOTATION,AUTO_GENERATED,NOTE
dj-nobu,DJ Nobu,DJ NOBU,no,手入力だが表記が LINEUP と不一致
dj-miku,Dj Miku,DJ MIKU,YES,autoRegisterArtists が ID から生成した名前
dj-kensei,Dj Kensei,DJ KENSEI,YES,autoRegisterArtists が ID から生成した名前
dj-yogurt,Dj Yogurt,DJ Yogurt,YES,autoRegisterArtists が ID から生成した名前
taichi-kawahira,Taichi Kawahira,TAICHI KAWAHIRA,YES,autoRegisterArtists が ID から生成した名前
tsutomu,Tsutomu,TSUTOMU,YES,autoRegisterArtists が ID から生成した名前
ga-su,Ga Su,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
freecinn,Freecinn,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
nutmeg,Nutmeg,NUTMEG,YES,autoRegisterArtists が ID から生成した名前
snipe1,Snipe1,snipe1,YES,autoRegisterArtists が ID から生成した名前
liarako,Liarako,LiaRako,YES,autoRegisterArtists が ID から生成した名前
akey,Akey,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
ayumu,Ayumu,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
captain-k,Captain K,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
lowki,Lowki,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
masa-aka-kyounote,Masa Aka Kyounote,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
menou-iwamaki,Menou Iwamaki,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
naotsun,Naotsun,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
norid,Norid,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
sakuma,Sakuma,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
seco,Seco,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
shimoyan,Shimoyan,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
tada,Tada,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
mayudepth,Mayudepth,MAYUDEPTH,YES,autoRegisterArtists が ID から生成した名前
akii,Akii,akii,YES,autoRegisterArtists が ID から生成した名前
mio,Mio,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
akaaki-ito,Akaaki Ito,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
choko,Choko,CHOKO,YES,autoRegisterArtists が ID から生成した名前
akihiro-suzuki,Akihiro Suzuki,AKIHIRO SUZUKI,YES,autoRegisterArtists が ID から生成した名前
endorphin,Endorphin,ENDORPHIN,YES,autoRegisterArtists が ID から生成した名前
kevin-miyagi,Kevin Miyagi,KEVIN MIYAGI,YES,autoRegisterArtists が ID から生成した名前
psychogem,Psychogem,PSYCHOGEM,YES,autoRegisterArtists が ID から生成した名前
sho,Sho,SHO,YES,autoRegisterArtists が ID から生成した名前
takehiro-imaizumi,Takehiro Imaizumi,TAKEHIRO IMAIZUMI,YES,autoRegisterArtists が ID から生成した名前
tazzy,Tazzy,TAZZY,YES,autoRegisterArtists が ID から生成した名前
tko,Tko,TKO,YES,autoRegisterArtists が ID から生成した名前
tmak,Tmak,TMAK,YES,autoRegisterArtists が ID から生成した名前
yeark,Yeark,YEARK,YES,autoRegisterArtists が ID から生成した名前
yuripon,Yuripon,YURIPON,YES,autoRegisterArtists が ID から生成した名前
antal,Antal,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
hunee,Hunee,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
ben-ufo,Ben Ufo,Ben UFO,YES,autoRegisterArtists が ID から生成した名前
dj-maria,Dj Maria.,DJ MARIA.,no,手入力だが表記が LINEUP と不一致
dungeoneering,Dungeoneering,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
gonno,Gonno,gonno,YES,autoRegisterArtists が ID から生成した名前
haai,Haai,HAAi,YES,autoRegisterArtists が ID から生成した名前
sisi,Sisi,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
ouissam,Ouissam,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
yamarchy,Yamarchy,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
suze-ij,Suze Ij,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
adhemar,AdhéMar,Adhémar,no,手入力だが表記が LINEUP と不一致
doltz,Doltz,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
tonbo,Tonbo,,YES,自動生成の疑い。LINEUP に元表記が残っていないため公式表記の確認が必要
the-master-musicians-of-joujouka,The Master Musicians Of Joujouka,The Master Musicians of Joujouka,YES,autoRegisterArtists が ID から生成した名前
kuo-from-sunset-rollercoaster,Kuo From Sunset Rollercoaster,Kuo from Sunset Rollercoaster,YES,autoRegisterArtists が ID から生成した名前
