ID,NAME,CITY,COUNTRY,GENRE,IMAGE,BIO,INSTAGRAM,SOUNDCLOUD,BANDCAMP,WEBSITE,STATUS,ogImage,metaDescription,TAGS,editorNotes,lastEditedBy,lastEditedAt,name_en,bio_en,imagePosition
clipz,CLIPZ,,,,,,,,,,draft,,,,,,,,,
dj-hype,DJ HYPE,,,,,,,,,,draft,,,,,,,,,
dj-masda,dj masda,,,,,,,,,,draft,,,,,,,,,
guchon,Guchon,,,,,,,,,,draft,,,,,,,,,
kohra,Kohra,,,,,,,,,,draft,,,,,,,,,
lady-shaka,Lady Shaka,,,,,,,,,,draft,,,,,,,,,
moodman,MOODMAN,,,,,,,,,,draft,,,,,,,,,
nasthug,nasthug,,,,,,,,,,draft,,,,,,,,,
okadada,okadada,,,,,,,,,,draft,,,,,,,,,
paquita-gordon,Paquita Gordon,,,,,,,,,,draft,,,,,,,,,
powder,Powder,,,,,,,,,,draft,,,,,,,,,
sherelle,SHERELLE,,,,,,,,,,draft,,,,,,,,,
upsammy,upsammy,,,,,,,,,,draft,,,,,,,,,
