ID,NAME,CITY,COUNTRY,GENRE,IMAGE,BIO,INSTAGRAM,SOUNDCLOUD,BANDCAMP,WEBSITE,STATUS,ogImage,metaDescription,TAGS,editorNotes,lastEditedBy,lastEditedAt,name_en,bio_en,imagePosition
abura,ABURA,,,,,,,,,,draft,,,,,,,,,
akg,AKG++,,,,,,,,,,draft,,,,,,,,,
amoral,AMORAL,,,,,,,,,,draft,,,,,,,,,
atsuki,ATSUKI,,,,,,,,,,draft,,,,,,,,,
clipz,CLIPZ,,,,,,,,,,draft,,,,,,,,,
connor,CONNOR,,,,,,,,,,draft,,,,,,,,,
dj-bin,DJ BIN,,,,,,,,,,draft,,,,,,,,,
dj-hype,DJ HYPE,,,,,,,,,,draft,,,,,,,,,
dj-kuri,DJ KURI,,,,,,,,,,draft,,,,,,,,,
dj-masda,dj masda,,,,,,,,,,draft,,,,,,,,,
enuoh,ENUOH,,,,,,,,,,draft,,,,,,,,,
garcon,Garçon,,,,,,,,,,draft,,,,,,,,,
guchon,Guchon,,,,,,,,,,draft,,,,,,,,,
karuta,KARUTA,,,,,,,,,,draft,,,,,,,,,
kohra,Kohra,,,,,,,,,,draft,,,,,,,,,
lady-shaka,Lady Shaka,,,,,,,,,,draft,,,,,,,,,
levolant,LEVOLANT,,,,,,,,,,draft,,,,,,,,,
lomax,Lomax,,,,,,,,,,draft,,,,,,,,,
makoto,MAKOTO,,,,,,,,,,draft,,,,,,,,,
matsunami,MATSUNAMI,,,,,,,,,,draft,,,,,,,,,
mc-gq,MC GQ,,,,,,,,,,draft,,,,,,,,,
minna-no-kimochi,Minna-no-kimochi,,,,,,,,,,draft,,,,,,,,,
moodman,MOODMAN,,,,,,,,,,draft,,,,,,,,,
nasthug,nasthug,,,,,,,,,,draft,,,,,,,,,
noco,NOCO,,,,,,,,,,draft,,,,,,,,,
okadada,okadada,,,,,,,,,,draft,,,,,,,,,
oma-totem,oma totem,,,,,,,,,,draft,,,,,,,,,
p-yan,P-YAN,,,,,,,,,,draft,,,,,,,,,
paquita-gordon,Paquita Gordon,,,,,,,,,,draft,,,,,,,,,
powder,Powder,,,,,,,,,,draft,,,,,,,,,
ralph,ralph,,,,,,,,,,draft,,,,,,,,,
riria,riria,,,,,,,,,,draft,,,,,,,,,
ryota,ryota,,,,,,,,,,draft,,,,,,,,,
sherelle,SHERELLE,,,,,,,,,,draft,,,,,,,,,
shibata,SHIBATA,,,,,,,,,,draft,,,,,,,,,
shuuma,Shuuma,,,,,,,,,,draft,,,,,,,,,
stones-taro,Stones Taro,,,,,,,,,,draft,,,,,,,,,
suna,SUNA,,,,,,,,,,draft,,,,,,,,,
taaahhh,TAAAHHH,,,,,,,,,,draft,,,,,,,,,
takumi-inamoto,Takumi Inamoto,,,,,,,,,,draft,,,,,,,,,
timnah,Timnah,,,,,,,,,,draft,,,,,,,,,
upsammy,upsammy,,,,,,,,,,draft,,,,,,,,,
ysk,YSK,,,,,,,,,,draft,,,,,,,,,
yuzo-iwata,Yuzo Iwata,,,,,,,,,,draft,,,,,,,,,
