SUGGESTED_ID,NAME,FESTIVALS,NEEDS_MANUAL_ID
abura,ABURA,99flags,
akg,AKG++,99flags,
amoral,AMORAL,PARAMOUNT,
antal-hunee,Antal & Hunee,Rainbow Disco Club,
atsuki,ATSUKI,99flags,
clipz,CLIPZ,THE STAR FESTIVAL,
connor,CONNOR,99flags,
dj-bin,DJ BIN,99flags,
dj-hype,DJ HYPE,THE STAR FESTIVAL,
dj-kuri,DJ KURI,Transcendence,
dj-masda,dj masda,THE STAR FESTIVAL,
dungeoneering-albino-sound-daigos,Dungeoneering (Albino Sound & Daigos),Rainbow Disco Club,
enuoh,ENUOH,99flags,
garcon,Garçon,Transcendence,
guchon,Guchon,THE STAR FESTIVAL,
karuta,KARUTA,99flags,
kohra,Kohra,Transcendence,
lady-shaka,Lady Shaka,THE STAR FESTIVAL,
levolant,LEVOLANT,99flags,
makoto,MAKOTO,THE STAR FESTIVAL,
matsunami,MATSUNAMI,99flags,
mc-gq,MC GQ,THE STAR FESTIVAL,
minna-no-kimochi,Minna-no-kimochi,THE STAR FESTIVAL,
moodman,MOODMAN,99flags,
nasthug,nasthug,THE STAR FESTIVAL,
nc4k-stones-taro-lomax,NC4K (Stones Taro & Lomax),Rainbow Disco Club,
noco,NOCO,PARAMOUNT,
okadada,okadada,THE STAR FESTIVAL,
oma-totem,oma totem,PARAMOUNT,
p-yan,P-YAN,99flags,
paquita-gordon,Paquita Gordon,Transcendence,
powder,Powder,THE STAR FESTIVAL,
ralph,ralph,THE STAR FESTIVAL,
riria,riria,THE STAR FESTIVAL,
ryota,ryota,THE STAR FESTIVAL,
sherelle,SHERELLE,THE STAR FESTIVAL,
shibata,SHIBATA,99flags,
shuuma,Shuuma,PARAMOUNT,
space-drum-meditation-live,Space Drum Meditation - Live,PARAMOUNT,
suna,SUNA,PARAMOUNT,
taaahhh,TAAAHHH,PARAMOUNT,
takumi-inamoto,Takumi Inamoto,Transcendence,
timnah,Timnah,Transcendence,
upsammy,upsammy,Transcendence,
ysk,YSK,Transcendence,
yuzo-iwata,Yuzo Iwata,Transcendence,
