ID,NAME,参照元フェス,BIO,SNS,画像,詳細ページ,分類,知名度メモ
198,198,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
acid-pauli,Acid Pauli,festival-de-frue,なし,なし,なし,あり,明らかに国際的に知られている,国際的な活動・リリースで広く知られる
adhemar,AdhéMar,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
akie,Akie,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
akihiro-suzuki,Akihiro Suzuki,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
akii,Akii,waifu,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
akiram-en,AKIRAM EN,etsuetsu,なし,なし,なし,あり,判断が要る,アーティスト名は把握しているが、活動規模は要確認
alabaster-deplume,Alabaster DePlume,festival-de-frue,なし,なし,なし,あり,明らかに国際的に知られている,国際的な活動・リリースで広く知られる
allen-mock,Allen Mock,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
antal,Antal,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に活動するDJ／レーベル文脈で知られる
ao,青,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
aoki-takamasa,AOKI Takamasa,letus-music-camp,なし,なし,なし,あり,明らかに国際的に知られている,国際的な活動・リリースで知られる
ben-ufo,Ben Ufo,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名なDJ／レーベル運営
caimann,Caimann,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
captain-k,Captain K,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
choko,Choko,arch,なし,なし,なし,あり,判断が要る,日本のシーンでの活動は推測できるが、詳細は要確認
cosmic-caz,Cosmic Caz,waifu,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
daniel-bell,DANIEL BELL,letus-music-camp,なし,なし,なし,あり,明らかに国際的に知られている,デトロイト・テクノの国際的な重要人物
daphni,Daphni,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名な音楽家・DJ
dj-krush,DJ KRUSH,spring-love-harukaze,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名な日本人アーティスト
dj-miku,Dj Miku,ala,なし,なし,なし,あり,日本のシーンで知られている,日本のテクノ／ハウスシーンで知られる
dj-yazi,DJ Yazi,matricaria,なし,なし,なし,あり,日本のシーンで知られている,日本のアンダーグラウンドシーンで知られる
dungeoneering,Dungeoneering,rainbow-disco-club,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
endorphin,Endorphin,arch,なし,なし,なし,あり,判断が要る,ARCH出演歴はあるが、活動規模は要確認
eric-cloutier,Eric Cloutier,matricaria,なし,なし,なし,あり,明らかに国際的に知られている,国際的に活動するDJ／レーベル運営
feline,Feline,rainbow-disco-club,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
floating-points,Floating Points,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名な音楽家・DJ
