ID,NAME（最新data.js）,参照元フェス,元分類,今回の扱い
198,198,arch,知らない / 情報がない,draft候補
adhemar,AdhéMar,matricaria,知らない / 情報がない,draft候補
akie,Akie,matricaria,知らない / 情報がない,draft候補
akihiro-suzuki,Akihiro Suzuki,arch,知らない / 情報がない,draft候補
akii,Akii,waifu,知らない / 情報がない,draft候補
allen-mock,Allen Mock,matricaria,知らない / 情報がない,draft候補
ao,青,arch,知らない / 情報がない,draft候補
caimann,Caimann,matricaria,知らない / 情報がない,draft候補
captain-k,Captain K,arch,知らない / 情報がない,draft候補
choko,CHOKO,arch,判断が要る,個別判断
cosmic-caz,Cosmic Caz,waifu,知らない / 情報がない,draft候補
endorphin,endorphin,arch,判断が要る,個別判断
feline,Feline,rainbow-disco-club,知らない / 情報がない,draft候補
fuji,FUJI,matricaria,知らない / 情報がない,draft候補
ga-su,Ga Su,ala,知らない / 情報がない,draft候補
iron,Iron,matricaria,知らない / 情報がない,draft候補
janus-rose,Janus Rose,waifu,知らない / 情報がない,draft候補
joma,Joma,matricaria,知らない / 情報がない,draft候補
jonathan-kusuma,Jonathan Kusuma,rainbow-disco-club,判断が要る,個別判断
jonny-rock,Jonny Rock,rainbow-disco-club,判断が要る,個別判断
kuo-from-sunset-rollercoaster,Kuo From Sunset Rollercoaster,festival-de-frue,知らない / 情報がない,draft候補
liarako,Liarako,ala,知らない / 情報がない,draft候補
mimu,Mimu,paramount,知らない / 情報がない,draft候補
naotsun,Naotsun,etsuetsu,知らない / 情報がない,draft候補
nc4k,NC4K,rainbow-disco-club,判断が要る,個別判断
noritake,Noritake,matricaria,知らない / 情報がない,draft候補
nutmeg,NUTMEG,ala,判断が要る,個別判断
ojisan,Ojisan,matricaria,知らない / 情報がない,draft候補
pianeti-sintetici,Pianeti Sintetici,matricaria,知らない / 情報がない,draft候補
qmico,Qmico,ala,知らない / 情報がない,draft候補
sho,Sho,arch,知らない / 情報がない,draft候補
snipe1,Snipe1,ala,知らない / 情報がない,draft候補
suguru-mochizuki,Suguru Mochizuki,matricaria,知らない / 情報がない,draft候補
takehiro-imaizumi,Takehiro Imaizumi,arch,知らない / 情報がない,draft候補
tazzy,Tazzy,arch,知らない / 情報がない,draft候補
tko,Tko,arch,知らない / 情報がない,draft候補
tmak,Tmak,arch,判断が要る,個別判断
tsutomu,TSUTOMU,ala,判断が要る,個別判断
yeark,Yeark,arch,知らない / 情報がない,draft候補
yuripon,DJ YURIPON,arch,判断が要る,個別判断

