ID,NAME,DATE,LOCATION,URL,INSTAGRAM
snow-machine-japan,Snow Machine Japan,2026-03-03/2026-03-08,HAKUBA VALLEY,https://hakuba.snow-machine.com/ja/,https://www.instagram.com/snowmachinejapan/
osukinidouzo,Osukinidouzo,2026-05-02/2026-05-04,Zakae Bridge,,https://www.instagram.com/sunflowers_of_today/
letus-music-camp,Letus Music Camp,2026-05-29/2026-05-31,Kuriwaki Farm,,https://www.instagram.com/letus_japan/
link-open-air,Link Open Air,2026-05-30/2026-05-31,,,
japonism,JAPONISM,2026-05-30/2026-05-31,,,
goj-ichi-festival,Gojū-Ichi Festival,2026-06-05/2026-06-07,,,
festival-fruezinho,FESTIVAL FRUEZINHO,2026-06-13/2026-06-13,,,
dots,Dots,2026-06-19/2026-06-21,,,
samsara,SAMSARA,2026-06-20/2026-06-21,,,
halola-camp,HALOLA CAMP,2026-06-27/2026-06-28,,,
moment,Moment,2026-07-03/2026-07-05,,,
rural,Rural,2026-07-17/2026-07-20,,,
fulirock,FuliRock,2026-07-24/2026-07-26,,,
sonic-mania,Sonic Mania,2026-08-14/2026-08-15,,,
one-park-festival,ONE PARK FESTIVAL,2026-09-05/2026-09-06,,,
re-birth-festival,Re:birth Festival,2026-09-11/2026-09-13,Gateaux Kingdom Koumi,https://www.rebirth-fes.com/,https://www.instagram.com/rebirthfes/
ultra-japan,Ultra Japan,2026-09-19/2026-09-20,,,
otsukimi,御月民 -OTSUKIMI-,2026-09-28/2026-09-29,,,
synapse-festival,Synapse Festival,2026-10-02/2026-10-04,,,
yagura,YAGURA,2026-10-10/2026-10-11,,,
labyrinth,Labyrinth,2026-10-10/2026-10-12,,,
wonderfruit-kyoto,Wonderfruit Kyoto,2026-10-21/2026-10-25,,,
unknown,Unknown,2024-10-18/2024-10-20,,,
wormhole,wormhole,2024-10-26/2024-10-27,,,
dom,DOM24,2024-10-27,,,
parallel-world,PARALLEL WORLD,2024-11-03/2024-11-04,,,
bonna-pot,Bonna Pot,2024-11-08/2024-11-10,,,
lab,LAB.vol.6,2025-03-15/2025-03-16,,,
axiom,axiom,2025-04-19/2025-04-20,,,
balance,Balance,2025-05-16/2025-05-18,,,
intergalactic,Intergalactic Festival,2025-05-31,,,
body-soul,Body&SOUL Live in Japan,2026-06-07,,,
signal,Signal,2025-06-14/2025-06-15,,,
euphoria,Euphoria,2025-07-11/2025-07-12,,,
orbit,ORBIT,2025-07-11/2025-07-12,,,
yamauto,YAMAUTO,2025-08-09/2025-08-18,,,
specialflower-festival,SPECIALFLOWER FESTIVAL,2025-08-10/2025-08-11,,,
loa-lost-paradise,LOA-LOST PARADISE-,2025-08-16/2025-08-17,,,
sawagi-festival,Sawagi Festival,2025-08-22/2025-08-24,,,
one-music-camp,ONE MUSIC CAMP,2025-08-23/2025-08-24,,,
global-ark,Global Ark,2025-08-29/2025-08-31,,,
kyoumei-gathering,KYOUMEI GatherinG,2025-08-29/2025-08-31,,,
bondisco,BonDisco,2025-08-30/2025-08-31,,,
pure-rave,PURE RAVE,2025-09-06/2025-09-08,,,
big-fun,BIG FUN,2025-09-07,,,
okiraku-camp,OKIRAKU CAMP,2025-09-13/2025-09-14,,,
gampeki,GAMPEKI,2025-09-20/2025-09-21,,,
sangenjaya-music-festival,SANGENJAYA MUSIC FESTIVAL,2025-09-20/2025-09-21,,,
colors-presents-soundcamp,COLORS Presents SOUNDCAMP,2025-09-21/2025-09-23,,,
festival40010,Festival40010,2025-09-26/2025-09-28,,,
ffkt,FFKT,2025-09-27/2025-09-28,,,
music-camp-core,Music Camp CORE,2025-10-03/2025-10-04,,,
circus,CIRCUS,2025-10-04,,,
each-story,EACH STORY,2025-10-04/2025-10-05,,,
rare-groove,Rare Groove,2025-10-04/2025-10-05,,,
delta-commit,DELTA COMMIT,2025-10-04/2025-10-05,,,
music,＋music,2025-10-11/2025-10-12,,,
ishinoko,ishinoko,2025-10-11/2025-10-13,,,
treks,TREKs,2025-10-17/2025-10-19,,,
circle,Circle,2025-10-17/2025-10-19,,,
one-park-riverfes,ONE PARK RIVERFES,2025-10-18/2025-10-19,,,
lost-find,Lost&Find,2025-10-18/2025-10-19,,,
asagiri-jam,ASAGIRI JAM,2025-10-18/2025-10-19,,,
dream-festival,DREAM FESTIVAL,2025-10-18/2025-10-19,,,
annahme,annahme,2025-10-25/2025-10-26,,,
brightness,Brightness,2025-10-25/2025-10-26,,,
capsule,CAPSULE-山中湖花火音楽祭,2025-10-25/2025-10-26,,,
midnight-cult-rave,MIDNIGHT CULT RAVE,2025-11-01/2025-11-02,,,
mirrorball-village,Mirrorball Village,2025-11-01/2025-11-03,,,
grow-the-culture-open-air,GROW THE CULTURE OPEN AIR,2026-11-07/2026-11-08,Ohba Camping Village,https://growtheculture.jp/,https://www.instagram.com/gtc_jp/
iyasaka-rave-festival,IYASAKA RAVE FESTIVAL,2025-11-14/2025-11-16,,,
topia,Topia,2025-11-15,,,
mutek,Mutek,2025-11-20/2025-11-23,,,
odyssey,Odyssey,2026-09-25/2026-09-27,,,
takarajima-beach-cleaning-party,TAKARAJIMA-Beach Cleaning Party-,2025-11-29/2025-11-30,,,
technogaoka,Technogaoka,2026-04-25/2026-04-26,Tabifusa Ashiya Daihi-kaku,,https://www.instagram.com/technogaoka/
