ID,NAME,LOCATION,ADDRESS,CITY,DATE
link-open-air,Link Open Air,,,Toyama,2026-05-30/2026-05-31
japonism,JAPONISM,,,Tochigi,2026-05-30/2026-05-31
goj-ichi-festival,Gojū-Ichi Festival,,,Tokyo,2026-06-05/2026-06-07
festival-fruezinho,FESTIVAL FRUEZINHO,,,Tokyo,2026-06-13/2026-06-13
dots,Dots,,,Hokkaido,2026-06-19/2026-06-21
samsara,SAMSARA,,,Nagano,2026-06-20/2026-06-21
halola-camp,HALOLA CAMP,,,Hokkaido,2026-06-27/2026-06-28
moment,Moment,,,Nara,2026-07-03/2026-07-05
rural,Rural,,,Fukushima,2026-07-17/2026-07-20
fulirock,FuliRock,,,Niigata,2026-07-24/2026-07-26
sonic-mania,Sonic Mania,,,Chiba,2026-08-14/2026-08-15
one-park-festival,ONE PARK FESTIVAL,,,Fukui,2026-09-05/2026-09-06
ultra-japan,Ultra Japan,,,Tokyo,2026-09-19/2026-09-20
otsukimi,御月民 -OTSUKIMI-,,,Nagano,2026-09-28/2026-09-29
synapse-festival,Synapse Festival,,,Fukuoka,2026-10-02/2026-10-04
yagura,YAGURA,,,Gifu,2026-10-10/2026-10-11
labyrinth,Labyrinth,,,Gunma,2026-10-10/2026-10-12
wonderfruit-kyoto,Wonderfruit Kyoto,,,Kyoto,2026-10-21/2026-10-25
festival-de-frue,FESTIVAL de FRUE,TSUMAGOI RESORT SAINO SATO,,Shizuoka,2026-10-31/2026-11-01
unknown,Unknown,,,Shizuoka,2024-10-18/2024-10-20
wormhole,wormhole,,,Mie,2024-10-26/2024-10-27
dom,DOM24,,,Tokyo,2024-10-27
parallel-world,PARALLEL WORLD,,,,2024-11-03/2024-11-04
bonna-pot,Bonna Pot,,,Shizuoka,2024-11-08/2024-11-10
lab,LAB.vol.6,,,Yamanashi,2025-03-15/2025-03-16
axiom,axiom,,,Yamanashi,2025-04-19/2025-04-20
balance,Balance,,,Gunma,2025-05-16/2025-05-18
intergalactic,Intergalactic Festival,,,Chiba,2025-05-31
body-soul,Body&SOUL Live in Japan,,,Tokyo,2026-06-07
signal,Signal,,,Yamanashi,2025-06-14/2025-06-15
euphoria,Euphoria,,,Tokyo,2025-07-11/2025-07-12
orbit,ORBIT,,,Fukui,2025-07-11/2025-07-12
yamauto,YAMAUTO,,,Shiga,2025-08-09/2025-08-18
specialflower-festival,SPECIALFLOWER FESTIVAL,,,Ibaraki,2025-08-10/2025-08-11
loa-lost-paradise,LOA-LOST PARADISE-,,,Ibaraki,2025-08-16/2025-08-17
sawagi-festival,Sawagi Festival,,,Yamanashi,2025-08-22/2025-08-24
one-music-camp,ONE MUSIC CAMP,,,Hyogo,2025-08-23/2025-08-24
global-ark,Global Ark,,,Gunma,2025-08-29/2025-08-31
kyoumei-gathering,KYOUMEI GatherinG,,,Hokkaido,2025-08-29/2025-08-31
bondisco,BonDisco,,,Kyoto,2025-08-30/2025-08-31
pure-rave,PURE RAVE,,,Kanto,2025-09-06/2025-09-08
big-fun,BIG FUN,,,Hokkaido,2025-09-07
okiraku-camp,OKIRAKU CAMP,,,Wakayama,2025-09-13/2025-09-14
gampeki,GAMPEKI,,,Yamagata,2025-09-20/2025-09-21
sangenjaya-music-festival,SANGENJAYA MUSIC FESTIVAL,,,Tokyo,2025-09-20/2025-09-21
colors-presents-soundcamp,COLORS Presents SOUNDCAMP,,,Hokkaido,2025-09-21/2025-09-23
festival40010,Festival40010,,,Kochi,2025-09-26/2025-09-28
ffkt,FFKT,,,Shizuoka,2025-09-27/2025-09-28
music-camp-core,Music Camp CORE,,,Toyama,2025-10-03/2025-10-04
circus,CIRCUS,,,Tokyo,2025-10-04
each-story,EACH STORY,,,Nagano,2025-10-04/2025-10-05
rare-groove,Rare Groove,,,Yamanashi,2025-10-04/2025-10-05
delta-commit,DELTA COMMIT,,,Yamanashi,2025-10-04/2025-10-05
music,＋music,,,Tokyo,2025-10-11/2025-10-12
ishinoko,ishinoko,,,Ishikawa,2025-10-11/2025-10-13
treks,TREKs,,,Kyoto,2025-10-17/2025-10-19
circle,Circle,,,Nagano,2025-10-17/2025-10-19
one-park-riverfes,ONE PARK RIVERFES,,,Gifu,2025-10-18/2025-10-19
lost-find,Lost&Find,,,Shizuoka,2025-10-18/2025-10-19
asagiri-jam,ASAGIRI JAM,,,Shizuoka,2025-10-18/2025-10-19
dream-festival,DREAM FESTIVAL,,,Yamanashi,2025-10-18/2025-10-19
annahme,annahme,,,kochi,2025-10-25/2025-10-26
brightness,Brightness,,,Kawasaki,2025-10-25/2025-10-26
capsule,CAPSULE-山中湖花火音楽祭,,,Yamanashi,2025-10-25/2025-10-26
midnight-cult-rave,MIDNIGHT CULT RAVE,,,Yamanashi,2025-11-01/2025-11-02
mirrorball-village,Mirrorball Village,,,Nagasaki,2025-11-01/2025-11-03
grow-the-culture-open-air,GROW THE CULTURE OPEN AIR,Ohba Camping Village,"3741 Okuno, Hinode-machi, Nishitama-gun, Tokyo",Tokyo,2026-11-07/2026-11-08
iyasaka-rave-festival,IYASAKA RAVE FESTIVAL,,,Okinawa,2025-11-14/2025-11-16
topia,Topia,,,Chiba,2025-11-15
mutek,Mutek,,,Tokyo,2025-11-20/2025-11-23
odyssey,Odyssey,,,Miyazaki,2026-09-25/2026-09-27
takarajima-beach-cleaning-party,TAKARAJIMA-Beach Cleaning Party-,,,Okinawa,2025-11-29/2025-11-30
