ID,NAME,URL,DATE,CITY
snow-machine-japan,Snow Machine Japan,https://hakuba.snow-machine.com/ja/,2026-03-03/2026-03-08,Hakuba
waifu,WAIFU,https://waifu-party.tokyo/,2026-04-11/2026-04-12,Chiba
arch,ARCH,,2026-04-11/2026-04-12,Gunma
rainbow-disco-club,Rainbow Disco Club,https://www.rainbowdiscoclub.com/,2026-04-17/2026-04-19,Shizuoka
osukinidouzo,Osukinidouzo,,2026-05-02/2026-05-04,Kanagawa
transcendence,Transcendence,https://transcendence-jp.com/,2026-05-08/2026-05-10,Nagano
link-open-air,Link Open Air,,2026-05-30/2026-05-31,Toyama
japonism,JAPONISM,,2026-05-30/2026-05-31,Tochigi
goj-ichi-festival,Gojū-Ichi Festival,,2026-06-05/2026-06-07,Tokyo
festival-fruezinho,FESTIVAL FRUEZINHO,,2026-06-13/2026-06-13,Tokyo
dots,Dots,,2026-06-19/2026-06-21,Hokkaido
samsara,SAMSARA,,2026-06-20/2026-06-21,Nagano
halola-camp,HALOLA CAMP,,2026-06-27/2026-06-28,Hokkaido
moment,Moment,,2026-07-03/2026-07-05,Nara
rural,Rural,,2026-07-17/2026-07-20,Fukushima
fulirock,FuliRock,,2026-07-24/2026-07-26,Niigata
sonic-mania,Sonic Mania,,2026-08-14/2026-08-15,Chiba
one-park-festival,ONE PARK FESTIVAL,,2026-09-05/2026-09-06,Fukui
re-birth-festival,Re:birth Festival,https://www.rebirth-fes.com/,2026-09-11/2026-09-13,Nagano
ultra-japan,Ultra Japan,,2026-09-19/2026-09-20,Tokyo
otsukimi,御月民 -OTSUKIMI-,,2026-09-28/2026-09-29,Nagano
synapse-festival,Synapse Festival,,2026-10-02/2026-10-04,Fukuoka
yagura,YAGURA,,2026-10-10/2026-10-11,Gifu
labyrinth,Labyrinth,,2026-10-10/2026-10-12,Gunma
wonderfruit-kyoto,Wonderfruit Kyoto,,2026-10-21/2026-10-25,Kyoto
unknown,Unknown,,2024-10-18/2024-10-20,Shizuoka
wormhole,wormhole,,2024-10-26/2024-10-27,Mie
dom,DOM24,,2024-10-27,Tokyo
parallel-world,PARALLEL WORLD,,2024-11-03/2024-11-04,
bonna-pot,Bonna Pot,,2024-11-08/2024-11-10,Shizuoka
lab,LAB.vol.6,,2025-03-15/2025-03-16,Yamanashi
axiom,axiom,,2025-04-19/2025-04-20,Yamanashi
