"EDITION_ID","SORT","ACT_LABEL","CURRENT_SET_TYPE","CANDIDATE_ARTIST_ID","CANDIDATE_ARTIST_NAME","STATUS"
"waifu-2026","6","M.I.O","dj","mio","Mio","NAME_MATCH_CANDIDATE"
"arch-2026","2","CAPTAIN-K","dj","captain-k","Captain K","NAME_MATCH_CANDIDATE"
"rainbow-disco-club-2026","18","Suze Ijó","dj","","","ARTIST_ID_REQUIRED"
"ala-2026","8","GA-SU","dj","ga-su","Ga Su","NAME_MATCH_CANDIDATE"
"ala-2026","9","free☆cinn.","dj","freecinn","Freecinn","NAME_MATCH_CANDIDATE"
"transcendence-2026","1","DJ KURI","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","4","Garçon","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","5","Kohra","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","6","Paquita Gordon","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","7","Takumi Inamoto","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","8","Timnah","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","9","upsammy","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","10","YSK","dj","","","ARTIST_ID_REQUIRED"
"transcendence-2026","11","Yuzo Iwata","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","1","MOODMAN","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","2","SHIBATA","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","3","P-YAN","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","4","ATSUKI","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","5","KARUTA","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","6","LEVOLANT","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","7","CONNOR","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","9","DJ BIN","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","10","ABURA","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","11","ENUOH","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","12","MATSUNAMI","dj","","","ARTIST_ID_REQUIRED"
"99flags-2026","13","AKG++","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","1","CLIPZ","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","2","DJ HYPE","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","3","dj masda","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","4","Guchon","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","5","Lady Shaka","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","6","MAKOTO","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","7","MC GQ","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","8","Minna-no-kimochi","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","9","nasthug","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","10","okadada","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","11","Powder","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","12","ralph","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","13","riria","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","14","ryota","dj","","","ARTIST_ID_REQUIRED"
"the-star-festival-2026","15","SHERELLE","dj","","","ARTIST_ID_REQUIRED"
"paramount-2026","1","AMORAL","dj","","","ARTIST_ID_REQUIRED"
"paramount-2026","2","oma totem","dj","","","ARTIST_ID_REQUIRED"
"paramount-2026","3","Space Drum Meditation - Live","dj","","","ARTIST_ID_REQUIRED"
"paramount-2026","4","SUNA","dj","","","ARTIST_ID_REQUIRED"
"paramount-2026","7","NOCO","dj","","","ARTIST_ID_REQUIRED"
"paramount-2026","8","Shuuma","dj","","","ARTIST_ID_REQUIRED"
"paramount-2026","9","TAAAHHH","dj","","","ARTIST_ID_REQUIRED"
"matricaria-2026","9","Doltz. -live-","live","doltz","Doltz","NAME_MATCH_CANDIDATE"
"matricaria-2026","19","Tonbo -live-","live","tonbo","Tonbo","NAME_MATCH_CANDIDATE"
