"EDITION_ID","ARTIST_IDS","JOIN_TYPE","PERF_TYPE","ACT_LABEL","STAGE","DAY","START","END","SORT"
"waifu-2026","yazzus","","dj","","","","","","1"
"waifu-2026","cosmic-caz","","dj","","","","","","2"
"waifu-2026","janus-rose","","dj","","","","","","3"
"waifu-2026","mayudepth","","dj","","","","","","4"
"waifu-2026","akii","","dj","","","","","","5"
"waifu-2026","","","dj","M.I.O","","","","","6"
"waifu-2026","aliceyuki","","dj","","","","","","7"
"arch-2026","choko","","dj","","","","","","1"
"arch-2026","","","dj","CAPTAIN-K","","","","","2"
"arch-2026","akihiro-suzuki","","dj","","","","","","3"
"arch-2026","endorphin","","dj","","","","","","4"
"arch-2026","kevin-miyagi","","dj","","","","","","5"
"arch-2026","psychogem","","dj","","","","","","6"
"arch-2026","sho","","dj","","","","","","7"
"arch-2026","takehiro-imaizumi","","dj","","","","","","8"
"arch-2026","tazzy","","dj","","","","","","9"
"arch-2026","tko","","dj","","","","","","10"
"arch-2026","tmak","","dj","","","","","","11"
"arch-2026","yeark","","dj","","","","","","12"
"arch-2026","yuripon","","dj","","","","","","13"
"arch-2026","ao","","dj","","","","","","14"
"arch-2026","198","","dj","","","","","","15"
"rainbow-disco-club-2026","","","dj","Antal & Hunee","","","","","1"
"rainbow-disco-club-2026","ben-ufo","","dj","","","","","","2"
"rainbow-disco-club-2026","daphni","","dj","","","","","","3"
"rainbow-disco-club-2026","dj-maria","","dj","","","","","","4"
"rainbow-disco-club-2026","","","dj","Dungeoneering (Albino Sound & Daigos)","","","","","5"
"rainbow-disco-club-2026","feline","","dj","","","","","","6"
"rainbow-disco-club-2026","floating-points","","dj","","","","","","7"
"rainbow-disco-club-2026","gerd-janson","","dj","","","","","","8"
"rainbow-disco-club-2026","gonno","","dj","","","","","","9"
"rainbow-disco-club-2026","haai","","dj","","","","","","10"
"rainbow-disco-club-2026","helena-hauff","","dj","","","","","","11"
"rainbow-disco-club-2026","jonathan-kusuma","","dj","","","","","","12"
"rainbow-disco-club-2026","jonny-rock","","dj","","","","","","13"
"rainbow-disco-club-2026","kikiorix","","dj","","","","","","14"
"rainbow-disco-club-2026","mala","","dj","","","","","","15"
"rainbow-disco-club-2026","","","dj","NC4K (Stones Taro & Lomax)","","","","","16"
"rainbow-disco-club-2026","","b2b","","Sisi b2b Ouissam b2b Yamarchy","","","","","17"
"rainbow-disco-club-2026","","","dj","Suze Ijó","","","","","18"
"rainbow-disco-club-2026","four-tet","","dj","","","","","","19"
"ala-2026","dj-miku","","dj","","","","","","1"
"ala-2026","dj-kensei","","dj","","","","","","2"
"ala-2026","dj-yogurt","","dj","","","","","","3"
"ala-2026","hidai","","dj","","","","","","4"
"ala-2026","taichi-kawahira","","dj","","","","","","5"
"ala-2026","tsutomu","","dj","","","","","","6"
"ala-2026","qmico","","dj","","","","","","7"
"ala-2026","","","dj","GA-SU","","","","","8"
"ala-2026","","","dj","free☆cinn.","","","","","9"
"ala-2026","nutmeg","","dj","","","","","","10"
"ala-2026","snipe1","","dj","","","","","","11"
"ala-2026","liarako","","dj","","","","","","12"
"transcendence-2026","","","dj","DJ KURI","","","","","1"
"transcendence-2026","dj-maria","","dj","","","","","","2"
"transcendence-2026","dj-nobu","","dj","","","","","","3"
