"EDITION_ID","SORT","ACT_LABEL","OLD_ARTIST_ID","ISSUE","ACTION"
"waifu-2026","6","M.I.O","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"arch-2026","2","CAPTAIN-K","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"rainbow-disco-club-2026","1","Antal & Hunee","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"rainbow-disco-club-2026","5","Dungeoneering (Albino Sound & Daigos)","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"rainbow-disco-club-2026","16","NC4K (Stones Taro & Lomax)","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"rainbow-disco-club-2026","17","Sisi b2b Ouissam b2b Yamarchy","","COMPOSITE_SLOT_REQUIRES_ARTIST_IDS","参加者ごとのIDとPERF_TYPEを手入力。ACT_LABELは分割しない"
"rainbow-disco-club-2026","18","Suze Ijó","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"ala-2026","8","GA-SU","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"ala-2026","9","free☆cinn.","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","1","DJ KURI","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","4","Garçon","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","5","Kohra","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","6","Paquita Gordon","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","7","Takumi Inamoto","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","8","Timnah","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","9","upsammy","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","10","YSK","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","11","Yuzo Iwata","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"transcendence-2026","12","Zitto B2B Zurkin","","COMPOSITE_SLOT_REQUIRES_ARTIST_IDS","参加者ごとのIDとPERF_TYPEを手入力。ACT_LABELは分割しない"
"99flags-2026","1","MOODMAN","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","2","SHIBATA","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","3","P-YAN","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","4","ATSUKI","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","5","KARUTA","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","6","LEVOLANT","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","7","CONNOR","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","9","DJ BIN","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","10","ABURA","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","11","ENUOH","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","12","MATSUNAMI","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"99flags-2026","13","AKG++","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"the-star-festival-2026","1","CLIPZ","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"the-star-festival-2026","2","DJ HYPE","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"the-star-festival-2026","3","dj masda","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"the-star-festival-2026","4","Guchon","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
"the-star-festival-2026","5","Lady Shaka","","ACT_LABEL_ONLY","ARTIST_IDSを手入力するか未解決枠として確認"
