section,id,name,missing_in_spa,extra_in_spa,spa_rendered,static_exists,appearances_spa,appearances_static,bandcamp_spa,bandcamp_static,bio_spa,bio_static,instagram_spa,instagram_static,soundcloud_spa,soundcloud_static
artist,dj-nobu,DJ Nobu,1,0,True,True,0,1,1,1,1,1,1,1,1,1
artist,wata-igarashi,WATA IGARASHI,0,0,True,True,0,0,1,1,1,1,1,1,1,1
artist,kotsu,KOTSU,0,0,True,True,0,0,0,0,1,1,1,1,1,1
artist,ken-ishii,KEN ISHII,0,0,True,True,0,0,1,1,1,1,1,1,1,1
artist,dj-miku,Dj Miku,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,dj-kensei,Dj Kensei,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,dj-yogurt,Dj Yogurt,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,hidai,Hidai,2,1,True,True,0,2,0,0,1,0,0,0,0,0
artist,taichi-kawahira,Taichi Kawahira,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,tsutomu,Tsutomu,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,qmico,Qmico,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,ga-su,Ga Su,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,freecinn,Freecinn,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,nutmeg,Nutmeg,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,snipe1,Snipe1,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,liarako,Liarako,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,akey,Akey,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,ayumu,Ayumu,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,captain-k,Captain K,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,lowki,Lowki,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,masa-aka-kyounote,Masa Aka Kyounote,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,menou-iwamaki,Menou Iwamaki,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,mimu,Mimu,1,1,True,True,0,1,0,0,1,0,0,0,0,0
artist,naotsun,Naotsun,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,norid,Norid,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,sakuma,Sakuma,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,seco,Seco,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,shimoyan,Shimoyan,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,tada,Tada,0,1,True,True,0,0,0,0,1,0,0,0,0,0
artist,yazzus,Yazzus,1,1,True,True,0,1,0,0,1,0,0,0,0,0
